notam_id,icao_location,q_code,category,effective_start,effective_end,body_text,full_text,char_count,word_count
A1539/24,OMDB,QNDXX,NAVIGATION_AID,2603091940,2603220740,ILS RWY 28R NOT AVAILABLE,"A1539/24 NOTAMN
Q) OMZX/QNDXX/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603091940 C) 2603220740
E) ILS RWY 28R NOT AVAILABLE",25,5
A2470/24,KLAX,QLTBA,LIGHTING,2603061340,2603240440,VASI RWY 23 UNSERVICEABLE,"A2470/24 NOTAMN
Q) KLZX/QLTBA/IV/NBO/A/000/999/5000N00000E999
A) KLAX B) 2603061340 C) 2603240440
E) VASI RWY 23 UNSERVICEABLE",25,4
A2657/24,YSSY,QOBXX,OBSTACLE,2603081040,2603302140,CRANE 3002FT ERECTED 3.4NM NW OF LFPG ARP,"A2657/24 NOTAMN
Q) YSZX/QOBXX/IV/NBO/A/000/999/5000N00000E999
A) YSSY B) 2603081040 C) 2603302140
E) CRANE 3002FT ERECTED 3.4NM NW OF LFPG ARP",41,8
A2963/24,KJFK,QOBCE,OBSTACLE,2603061540,2603080140,CONSTRUCTION CRANE 668FT MSL WITHIN 14.0NM ARP,"A2963/24 NOTAMN
Q) KJZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603061540 C) 2603080140
E) CONSTRUCTION CRANE 668FT MSL WITHIN 14.0NM ARP",46,7
A2445/24,EGLL,QLTAS,LIGHTING,2603081240,2603290240,APCH LGTS RWY 28R OTS,"A2445/24 NOTAMN
Q) EGZX/QLTAS/IV/NBO/A/000/999/5000N00000E999
A) EGLL B) 2603081240 C) 2603290240
E) APCH LGTS RWY 28R OTS",21,5
A2472/24,OMDB,QLTAS,LIGHTING,2603080540,2604070240,PAPI RWY 28R OTS,"A2472/24 NOTAMN
Q) OMZX/QLTAS/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603080540 C) 2604070240
E) PAPI RWY 28R OTS",16,4
A1750/24,KATL,QILXX,NAVIGATION_AID,2603091840,2603291140,DME MAR UNMON,"A1750/24 NOTAMN
Q) KAZX/QILXX/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603091840 C) 2603291140
E) DME MAR UNMON",13,3
A2174/24,KATL,QRTCA,AIRSPACE_RESTRICTION,2603071540,2603100940,SPECIAL FLIGHT RULES AREA ACTIVE SFC-6165FT MSL,"A2174/24 NOTAMN
Q) KAZX/QRTCA/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603071540 C) 2603100940
E) SPECIAL FLIGHT RULES AREA ACTIVE SFC-6165FT MSL",47,7
A2516/24,OMDB,QLTAS,LIGHTING,2603071840,2604040440,REIL RWY 32L U/S,"A2516/24 NOTAMN
Q) OMZX/QLTAS/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603071840 C) 2604040440
E) REIL RWY 32L U/S",16,4
A2693/24,KJFK,QOBCE,OBSTACLE,2603070140,2603130740,CRANE 1064FT ERECTED 3.1NM NW OF KLAX ARP,"A2693/24 NOTAMN
Q) KJZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) KJFK B) 2603070140 C) 2603130740
E) CRANE 1064FT ERECTED 3.1NM NW OF KLAX ARP",41,8
A1374/24,OMDB,QMRLT,RUNWAY_CLOSURE,2603081340,2604070540,TWY C CLSD,"A1374/24 NOTAMN
Q) OMZX/QMRLT/IV/NBO/A/000/999/5000N00000E999
A) OMDB B) 2603081340 C) 2604070540
E) TWY C CLSD",10,3
A2754/24,KATL,QOBCE,OBSTACLE,2603080440,2604040940,MULTIPLE CRANES MAX 967FT AGL WITHIN 9.3NM,"A2754/24 NOTAMN
Q) KAZX/QOBCE/IV/NBO/A/000/999/5000N00000E999
A) KATL B) 2603080440 C) 2604040940
E) MULTIPLE CRANES MAX 967FT AGL WITHIN 9.3NM",42,7
